epoch,accuracy,loss,val_accuracy,val_loss
0,0.5264999866485596,1.2927724123001099,0.5964999794960022,1.0596064329147339
1,0.6432499885559082,0.9382005333900452,0.6359999775886536,0.9396888613700867
2,0.6926249861717224,0.8061578273773193,0.6470000147819519,0.9091178774833679
3,0.7306874990463257,0.7143654823303223,0.6527500152587891,0.9312543272972107
4,0.7697499990463257,0.6129023432731628,0.6617500185966492,0.9058613181114197
5,0.7975000143051147,0.5447061657905579,0.6834999918937683,0.8724374175071716
6,0.8268749713897705,0.4702933132648468,0.6685000061988831,0.9512575268745422
7,0.8478749990463257,0.4138198792934418,0.7085000276565552,0.853057324886322
8,0.8638125061988831,0.36599576473236084,0.6825000047683716,0.9797852635383606
9,0.8861874938011169,0.3144063949584961,0.6837499737739563,1.0158686637878418
